ID	Tweet	Affect Dimension	Intensity Class
2018-Es-00818	Este año me tocará ir sola a la Convención de DB 😬 Vamo a conocer otakus 	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-06065	MB si no me equivoco una vez me confundi de snap y te mande terrible escracho mio jaja,me re copa q estes estudiando el prof suerte con eso💪	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-00417	@cokep Que eres terrible fome! 🙄 Y añejo poh!	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-00861	Gracias por informar temas de contingencia del país, preguntas claves para el proceso del país. #ironía #Tolerancia0	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-01772	En Maipú hace falta una peluquería ATR 	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-01969	Datos @FPCIUDADANA y @GobiernodeChile dicen q delincuencia ha bajado, sin/emb sensación d inseguridad sigue. Gran trabajo d la prensa 	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-03177	@MartinezTobias1 AAAAA feliz día loquito,te extrañoo	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-05589	La gente siempre piensa que los estoy mirando mal. Yo no miro mal a nadie, tengo cara de amargado y ya.	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-01809	Me sigue haciendo preguntas sobre el color de mis pies y hasta no responder todo no me va a decir el motivo de su curiosidad 	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-02723	Amo que @Apple haya hecho una actualización para poner lento mi iphone. Lo amo de verdad. #Sarcasmo 😑	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-02457	Feliz día me dijo si habremos compartido baldes en lbbb" JAJAJAJAJAAJAAJ	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-03260	No puedo esperar a que sea mañana y ver el súper drama que habrá en mi salón 	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-00009	Soy demasiado ansiosa🤦‍♀️	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-05990	@guaperro1 Demasiado dulce 😅	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-03909	Me da risa cuando nadie me cree que me sigue Justin Bieber yyyyyyy me mando dm 	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-04012	Debería de estar leyendo, no viendo mis memes de hace dos años :( hasta llore de la risa... toot toot dooo	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-03525	Hola, ansiedad. Pasa. Llegas temprano.	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-01591	send diversión en mi tl	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-03331	@oficialHASSAM @Avianca Unos pocos como paralizan el país #ironía	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-03947	@danuhfX Este tweet ha ofendido a los latinoamericanos	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-03287	@albanagrigo Jajajajajajajajajajajaja fue lo mas y mas cuando perdió el arito jajjaajja	valence	3: se infiere un estado emocional muy positivo
2018-Es-04799	@CFCorrecaminos Y ese parche tan horrendo enfrente de la playera que pedo?  #Gacho	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-00999	Los dos queremos pero nos mata la cobardía !!!	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-04200	Siempre me ha gustado, encima es divertida, ¿qué más pedir?	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-05024	Estoy tan ansiosa por la 7ma temporada de Game of Throne que ya me siento una Targaryen.	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-01636	q bien va sanidad en Andalucía ❤❤❤❤❤ #ironico	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-00969	No te dejes llevar por el orgullo, escribele pa q te dejen en visto JAJAJAJJAJA 	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-05884	Un aplauso por esas personas que a pesar de estar jodidas, siempre buscan la manera de sacarte una sonrisa	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-01437	@1Ballesta1 nojoda que risa yo pq no te grabe ? ah verdad no tenía cel aún	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-00624	#FloresParaNairo y como no enviárselas si @NairoQuinCo me hace sentir muy orgulloso de esta tierra que tantos hacen quedar mal	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-06477	@El_Universal_Mx Pues a esperar más explosiones de júbilo y alegría por dicho nombramiento.	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-00873	Pues en su intento por insultarme me dijo "negro" y "marico" y me pregunto que cuál será el nivel de este ser al decirme eso como insulto	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-04150	@ZauberinB Buenos días !!! A por él 	valence	2: se infiere un estado emocional moderadamente positivo
2018-Es-01096	soy terrible yeta por la chucha por qué nací así	valence	-3: se infiere un estado emocional muy negativo
2018-Es-00947	😱😱😱😱escucharon ese trueno? ⚡️	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-02420	@MarianaRodrigzC Jajajajajaja como cuando te exponen 😅	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-02903	Que aburrido ni se para que tengo whatsaa	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-02426	Hoy mi papá me dijo que está preocupado porque aún no tengo novio 😂🤷🏻‍♀️💔	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-00615	@sergioaruizh :) gracias, aunque en este avatar si estoy muy producida y esa sonrisa jamás volvió.	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-03996	Si Cataluña tuviera un dictador como Maduro mañana se celebraría el referendo con toda normalidad y mas aun, con apoyo del gobierno.#Ironía	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-03433	Se enojo ,me dejo mandándolo a la mierda sola y se durmió.	valence	-3: se infiere un estado emocional muy negativo
2018-Es-06476	@ZettaOfficial El "lobo" de los tres cerditos. Sigo indignado.	valence	-3: se infiere un estado emocional muy negativo
2018-Es-06320	Tengo pocos followers así q  impacto sería bajo pero me pasaría el día retuiteando a @gerardotc #ingenio #ironía en estado puro #periodismo	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-03023	@DebRyanShow @TecnopolisNC #RutaPais2032 Mucha suerte🙏❤	valence	1: se infiere un estado emocional ligeramente positivo
2018-Es-04892	@sergioulloa1 Que indignación 😠, con esa plata podrían sacar a cuantas familias de la pobreza	valence	-3: se infiere un estado emocional muy negativo
2018-Es-01441	Pero a mi quien mierda me manda a elegir esta carrera de mierda... lease entre lineas (amo mi carrera y por eso me enojo) #Relatosalvaje	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-04790	Juega vivo y piensa mal	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-05528	@Tricker_FD Alguien que me entiende perfectamente Lamentablemente no tenemos control ante aquello	valence	-2: se infiere un estado emocional moderadamente negativo
2018-Es-03224	Meeentime que me gusta. 	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-02429	@kalebalemayehu_ @NOCHlLLVlNES yo wtf 	valence	0: se infiere un estado emocional neutral or mixto
2018-Es-05036	@KRLS me ofrezco a imprimir papeletas para el referéndum ilegal si me las pagan bien, tengo impresora en casa. #ironia	valence	-1: se infiere un estado emocional ligeramente negativo
2018-Es-01562	Y nunca me habias provocado tanta risa, como hoy xD xD	valence	3: se infiere un estado emocional muy positivo
